                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1516,                 4.9745,                 4.1126,                0.48041,                0.22019,                0.10579,                0.03156,                 3.1168,                 3.5415,                 3.5585,             0.00027658,             0.00027658,             0.00027658
                      2,                 2.7128,                 3.4496,                 3.1906,                0.39824,                0.55961,                0.37671,                0.15963,                 2.1105,                 2.3773,                 2.4457,             0.00054876,             0.00054876,             0.00054876
                      3,                 1.9955,                 2.3212,                 2.4196,                0.59501,                0.76199,                 0.7136,                0.42642,                 1.4579,                 1.7931,                 1.8591,             0.00081544,             0.00081544,             0.00081544
                      4,                 1.6293,                  1.781,                 2.0275,                0.82141,                0.78657,                0.87073,                0.61315,                 1.1673,                 1.3884,                 1.6195,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.3691,                 1.4162,                 1.7634,                 0.8072,                0.85157,                0.89715,                0.65041,                 1.0383,                 1.0696,                 1.4454,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.1827,                 1.1752,                 1.5913,                0.92524,                0.88337,                0.97111,                0.75997,                0.92443,                0.88283,                 1.3553,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.0553,                 1.0162,                  1.471,                0.91828,                0.93338,                0.97401,                 0.7959,                0.76502,                 0.7816,                 1.2154,             0.00078352,             0.00078352,             0.00078352
                      8,                0.96622,                0.89568,                 1.3808,                0.95142,                 0.9532,                0.98313,                0.82391,                0.73518,                0.72537,                 1.1524,             0.00077527,             0.00077527,             0.00077527
                      9,                 0.8948,                0.81117,                 1.3241,                0.93812,                 0.9436,                 0.9786,                0.83479,                0.65371,                0.65645,                 1.0979,             0.00076703,             0.00076703,             0.00076703
                     10,                0.84112,                0.75107,                 1.2708,                0.97068,                0.95731,                0.98821,                0.88673,                0.55937,                 0.5282,                 1.0447,             0.00075878,             0.00075878,             0.00075878
                     11,                0.78652,                0.70975,                 1.2192,                0.97417,                0.97077,                0.99059,                0.88352,                0.55599,                  0.547,                 1.0081,             0.00075053,             0.00075053,             0.00075053
                     12,                0.76488,                0.67751,                 1.2023,                0.98761,                0.97588,                0.99077,                0.89398,                0.51398,                0.45397,                0.99278,             0.00074229,             0.00074229,             0.00074229
                     13,                0.71456,                0.63395,                 1.1668,                0.98521,                0.95483,                0.98933,                0.89421,                0.51282,                0.45987,                0.98393,             0.00073404,             0.00073404,             0.00073404
                     14,                0.69306,                 0.6031,                 1.1457,                0.98465,                0.97773,                0.99151,                0.90728,                0.49435,                0.43749,                0.95229,             0.00072579,             0.00072579,             0.00072579
                     15,                 0.6723,                0.58304,                 1.1335,                0.98971,                 0.9837,                0.99223,                0.90968,                0.48313,                0.40298,                0.93314,             0.00071755,             0.00071755,             0.00071755
                     16,                0.65585,                 0.5617,                 1.1185,                0.99392,                0.98355,                0.99197,                 0.9238,                0.43539,                 0.3737,                0.90995,              0.0007093,              0.0007093,              0.0007093
                     17,                0.63485,                0.55746,                  1.109,                0.99346,                 0.9862,                0.99242,                0.92812,                0.41742,                0.36564,                0.90238,             0.00070105,             0.00070105,             0.00070105
                     18,                0.61295,                0.52993,                 1.0919,                 0.9924,                0.98747,                0.99318,                0.93185,                0.41303,                0.35515,                0.89789,             0.00069281,             0.00069281,             0.00069281
                     19,                0.61895,                0.52763,                 1.0948,                0.99016,                0.98579,                0.99218,                0.92723,                0.42401,                0.36488,                0.91341,             0.00068456,             0.00068456,             0.00068456
                     20,                0.58834,                0.50278,                 1.0781,                0.98918,                0.98144,                0.99279,                0.93219,                0.41649,                0.34217,                0.89717,             0.00067631,             0.00067631,             0.00067631
                     21,                0.58189,                0.49624,                 1.0724,                0.99537,                0.98636,                0.99321,                0.93738,                0.38853,                0.33854,                0.87964,             0.00066807,             0.00066807,             0.00066807
                     22,                0.57674,                0.49126,                 1.0607,                0.99602,                0.99025,                0.99392,                0.94104,                0.38591,                  0.328,                0.87811,             0.00065982,             0.00065982,             0.00065982
                     23,                0.57152,                0.48401,                 1.0619,                 0.9971,                0.98777,                0.99379,                0.94655,                 0.3674,                0.31996,                0.86375,             0.00065157,             0.00065157,             0.00065157
                     24,                0.56237,                  0.475,                 1.0537,                0.99554,                0.98944,                0.99399,                0.94836,                0.36514,                0.31249,                0.85718,             0.00064333,             0.00064333,             0.00064333
                     25,                0.53122,                0.45146,                 1.0338,                0.98521,                0.98566,                 0.9931,                0.93292,                0.39892,                0.34399,                0.88167,             0.00063508,             0.00063508,             0.00063508
                     26,                0.52164,                0.45282,                   1.03,                0.99133,                0.98963,                0.99362,                0.94698,                0.35935,                0.30606,                0.85744,             0.00062683,             0.00062683,             0.00062683
                     27,                 0.5275,                0.43609,                 1.0308,                0.99724,                0.98993,                0.99357,                0.95471,                0.32758,                0.29648,                0.84079,             0.00061859,             0.00061859,             0.00061859
                     28,                 0.4955,                0.42352,                  1.004,                0.99533,                0.98897,                0.99378,                0.95473,                 0.3371,                0.28887,                0.84789,             0.00061034,             0.00061034,             0.00061034
                     29,                 0.5021,                0.43022,                 1.0151,                0.99624,                0.98987,                0.99405,                0.95084,                0.35454,                0.29687,                0.84109,             0.00060209,             0.00060209,             0.00060209
                     30,                0.49954,                0.42339,                 1.0062,                 0.9943,                0.99196,                0.99441,                0.96119,                0.31474,                0.27714,                0.82938,             0.00059385,             0.00059385,             0.00059385
                     31,                0.49753,                0.42067,                 1.0135,                0.99527,                0.99073,                0.99431,                0.95762,                0.33326,                0.28686,                0.84221,              0.0005856,              0.0005856,              0.0005856
                     32,                0.49363,                0.41577,                 1.0113,                0.99714,                0.99187,                  0.994,                0.96649,                0.29658,                 0.2682,                0.82555,             0.00057735,             0.00057735,             0.00057735
                     33,                0.47158,                0.40213,                0.99829,                0.99543,                0.99116,                0.99396,                0.96579,                0.29855,                0.26376,                0.82406,             0.00056911,             0.00056911,             0.00056911
                     34,                0.46381,                0.39491,                0.99252,                0.99704,                0.99277,                 0.9942,                0.96612,                 0.2878,                0.25856,                0.81495,             0.00056086,             0.00056086,             0.00056086
                     35,                0.47384,                0.41444,                 1.0017,                 0.9969,                0.99106,                0.99402,                0.96612,                0.29385,                0.26309,                0.82041,             0.00055261,             0.00055261,             0.00055261
                     36,                0.45141,                0.39331,                0.98893,                0.99562,                0.99337,                0.99431,                0.96799,                 0.2758,                 0.2552,                0.81226,             0.00054437,             0.00054437,             0.00054437
                     37,                0.44679,                0.37603,                0.97854,                0.99713,                0.99087,                0.99449,                0.96854,                0.27909,                0.25325,                0.81283,             0.00053612,             0.00053612,             0.00053612
                     38,                  0.446,                 0.3757,                0.97915,                0.99656,                0.99224,                0.99461,                0.96753,                0.26648,                0.24402,                0.80931,             0.00052787,             0.00052787,             0.00052787
                     39,                0.44308,                0.37446,                0.98309,                0.99717,                0.99363,                 0.9948,                0.96898,                0.27709,                0.24821,                0.81226,             0.00051963,             0.00051963,             0.00051963
                     40,                0.44161,                0.37123,                0.97789,                0.99488,                0.98877,                 0.9946,                0.96547,                0.28584,                0.25273,                0.81819,             0.00051138,             0.00051138,             0.00051138
                     41,                0.42802,                0.36264,                 0.9747,                0.99586,                0.99285,                0.99465,                0.97038,                0.26278,                0.24163,                0.80278,             0.00050313,             0.00050313,             0.00050313
                     42,                0.42995,                0.36867,                0.97577,                0.99645,                  0.994,                0.99478,                0.97397,                0.25958,                0.23723,                0.79918,             0.00049489,             0.00049489,             0.00049489
                     43,                 0.4264,                0.35751,                0.96917,                0.99871,                0.99252,                0.99485,                 0.9729,                0.25712,                0.23142,                0.79828,             0.00048664,             0.00048664,             0.00048664
                     44,                 0.4129,                0.35854,                0.96103,                0.99565,                0.99231,                0.99476,                0.97222,                0.25373,                0.23453,                 0.7937,             0.00047839,             0.00047839,             0.00047839
                     45,                 0.4157,                0.35594,                0.96094,                 0.9981,                0.99173,                0.99478,                0.97593,                0.24328,                0.22482,                0.79352,             0.00047015,             0.00047015,             0.00047015
                     46,                0.41015,                0.35862,                0.96252,                0.99769,                0.99389,                0.99491,                0.97596,                0.23649,                0.21939,                0.79175,              0.0004619,              0.0004619,              0.0004619
                     47,                0.40454,                0.34678,                0.95604,                0.99733,                0.99329,                0.99483,                 0.9791,                0.23074,                0.21538,                0.78872,             0.00045365,             0.00045365,             0.00045365
                     48,                0.40138,                0.34748,                0.95767,                0.99719,                0.99447,                0.99482,                 0.9788,                0.23439,                0.22098,                0.79221,             0.00044541,             0.00044541,             0.00044541
                     49,                0.39313,                0.33888,                0.95259,                 0.9991,                0.99326,                0.99487,                0.97717,                0.23494,                0.21307,                0.78975,             0.00043716,             0.00043716,             0.00043716
                     50,                0.39299,                0.34193,                0.95314,                 0.9982,                0.99383,                0.99478,                0.97961,                0.22693,                0.20977,                0.78571,             0.00042891,             0.00042891,             0.00042891
                     51,                0.38293,                 0.3318,                0.94637,                0.99814,                0.99369,                0.99476,                0.98005,                0.22686,                0.21066,                0.78443,             0.00042066,             0.00042066,             0.00042066
                     52,                0.38845,                0.33283,                0.94521,                 0.9973,                0.99374,                0.99485,                0.97821,                0.22762,                0.21453,                0.78715,             0.00041242,             0.00041242,             0.00041242
                     53,                0.38924,                0.32989,                0.94811,                0.99756,                0.99451,                0.99491,                0.98044,                0.22067,                  0.203,                0.78177,             0.00040417,             0.00040417,             0.00040417
                     54,                0.39223,                0.33596,                0.95087,                0.99795,                0.99512,                0.99472,                0.98136,                0.22102,                0.20394,                0.78553,             0.00039592,             0.00039592,             0.00039592
                     55,                 0.3835,                0.32141,                 0.9446,                0.99787,                0.99366,                0.99481,                0.98138,                 0.2195,                 0.2064,                0.78823,             0.00038768,             0.00038768,             0.00038768
                     56,                 0.3783,                0.32623,                0.94222,                0.99753,                0.99419,                 0.9949,                0.98202,                0.21317,                0.19897,                0.78045,             0.00037943,             0.00037943,             0.00037943
                     57,                0.37591,                0.31991,                 0.9421,                  0.998,                0.99435,                0.99483,                0.98106,                0.21163,                0.20084,                0.77992,             0.00037118,             0.00037118,             0.00037118
                     58,                0.37988,                0.32706,                0.95185,                0.99776,                0.99406,                 0.9948,                0.98278,                0.20929,                0.19465,                0.77854,             0.00036294,             0.00036294,             0.00036294
                     59,                 0.3674,                0.31566,                0.93915,                0.99846,                0.99409,                0.99493,                0.98057,                 0.2139,                0.19841,                0.77934,             0.00035469,             0.00035469,             0.00035469
                     60,                 0.3591,                0.30443,                0.93248,                0.99771,                0.99456,                0.99488,                0.98171,                0.20717,                0.19757,                0.77294,             0.00034644,             0.00034644,             0.00034644
                     61,                0.36538,                0.31101,                0.93604,                0.99814,                0.99473,                0.99496,                0.98388,                  0.201,                0.19563,                0.77511,              0.0003382,              0.0003382,              0.0003382
                     62,                0.35606,                0.30203,                0.93418,                0.99885,                0.99463,                0.99493,                0.98325,                0.20025,                 0.1882,                0.77387,             0.00032995,             0.00032995,             0.00032995
                     63,                0.36303,                 0.3149,                0.93765,                0.99843,                0.99437,                0.99492,                0.98523,                0.19847,                 0.1889,                0.77491,              0.0003217,              0.0003217,              0.0003217
                     64,                0.35826,                0.30686,                0.93225,                0.99851,                  0.995,                0.99494,                0.98356,                0.19557,                0.19116,                0.77415,             0.00031346,             0.00031346,             0.00031346
                     65,                0.35419,                0.30392,                0.93358,                0.99871,                0.99465,                0.99496,                0.98399,                 0.1942,                0.18551,                0.77102,             0.00030521,             0.00030521,             0.00030521
                     66,                0.35502,                0.30407,                0.93278,                0.99878,                0.99452,                0.99494,                0.98278,                0.19691,                0.18377,                 0.7728,             0.00029696,             0.00029696,             0.00029696
                     67,                0.35886,                 0.3052,                0.93682,                0.99794,                0.99435,                0.99497,                0.98504,                0.19356,                0.18259,                0.77023,             0.00028872,             0.00028872,             0.00028872
                     68,                0.34232,                0.29146,                0.92732,                0.99857,                0.99483,                0.99497,                0.98465,                 0.1922,                0.18107,                0.76946,             0.00028047,             0.00028047,             0.00028047
                     69,                0.34105,                 0.2955,                0.92595,                0.99889,                0.99411,                0.99495,                0.98576,                0.18945,                0.17968,                0.77168,             0.00027222,             0.00027222,             0.00027222
                     70,                0.33987,                0.29523,                0.92826,                 0.9984,                0.99499,                0.99494,                0.98563,                 0.1877,                 0.1804,                0.77019,             0.00026398,             0.00026398,             0.00026398
                     71,                0.32872,                0.28349,                0.91963,                0.99899,                0.99508,                0.99495,                0.98585,                0.18576,                0.17836,                0.76906,             0.00025573,             0.00025573,             0.00025573
                     72,                0.33783,                0.29075,                0.92385,                0.99857,                 0.9951,                0.99496,                0.98515,                 0.1863,                0.17615,                0.76776,             0.00024748,             0.00024748,             0.00024748
