                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1753,                  4.965,                 4.0683,                0.31354,                0.36835,                0.15367,                0.05326,                 2.5763,                 3.0324,                 3.2546,             0.00027664,             0.00027664,             0.00027664
                      2,                  2.524,                   3.27,                 3.0442,                0.41558,                0.48281,                0.44937,                0.21557,                 1.9024,                 2.0004,                 2.4076,             0.00054882,             0.00054882,             0.00054882
                      3,                 1.8634,                 2.2315,                 2.3475,                0.71276,                0.66762,                0.70361,                0.43238,                 1.5556,                 1.6443,                 2.0682,              0.0008155,              0.0008155,              0.0008155
                      4,                 1.5013,                 1.6996,                 1.9858,                0.70848,                0.81577,                 0.7994,                0.55299,                 1.1883,                 1.8578,                 1.6572,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.2512,                 1.3467,                 1.7209,                 0.8652,                0.88574,                 0.9409,                0.73573,                0.90776,                 1.0023,                 1.4167,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.0947,                 1.1395,                 1.5546,                0.93847,                 0.8662,                0.95881,                0.77185,                0.83122,                0.86172,                 1.3091,             0.00079177,             0.00079177,             0.00079177
                      7,                0.97788,                0.98901,                  1.439,                0.96088,                0.90377,                0.96407,                  0.803,                0.75325,                0.72586,                 1.2338,             0.00078352,             0.00078352,             0.00078352
                      8,                0.90957,                0.88497,                  1.367,                0.96819,                0.93487,                0.97833,                0.84148,                0.66665,                0.62521,                 1.1671,             0.00077527,             0.00077527,             0.00077527
                      9,                0.85345,                0.82197,                 1.3179,                0.95111,                0.88978,                0.96004,                0.81686,                0.68426,                0.69042,                 1.1336,             0.00076703,             0.00076703,             0.00076703
                     10,                0.81958,                0.77623,                 1.2785,                0.96986,                0.95455,                0.98119,                0.87452,                0.56145,                0.56253,                 1.0493,             0.00075878,             0.00075878,             0.00075878
                     11,                  0.761,                0.72047,                 1.2343,                0.97344,                0.95462,                0.98257,                 0.8667,                0.57388,                0.56971,                 1.0393,             0.00075053,             0.00075053,             0.00075053
                     12,                0.73401,                0.68422,                 1.2101,                0.94921,                0.94394,                0.98102,                0.88994,                0.52464,                0.47303,                 1.0223,             0.00074229,             0.00074229,             0.00074229
                     13,                0.69171,                0.62113,                 1.1725,                0.97855,                0.96123,                0.98364,                0.90434,                0.48764,                0.43969,                0.98237,             0.00073404,             0.00073404,             0.00073404
                     14,                0.67756,                0.61845,                 1.1722,                0.97821,                0.96528,                0.98506,                0.91057,                0.48123,                0.43646,                0.96904,             0.00072579,             0.00072579,             0.00072579
                     15,                0.64795,                0.58518,                 1.1441,                0.97774,                0.96688,                0.98421,                0.89992,                0.47272,                0.43052,                 0.9612,             0.00071755,             0.00071755,             0.00071755
                     16,                0.64287,                0.58539,                 1.1391,                0.97443,                0.96704,                0.98565,                0.90571,                0.48442,                0.41676,                0.97386,              0.0007093,              0.0007093,              0.0007093
                     17,                0.62183,                0.55735,                 1.1129,                0.98625,                0.96493,                0.98363,                0.93032,                0.39986,                0.37172,                0.92446,             0.00070105,             0.00070105,             0.00070105
